Timestamp,Font #1,Font #2,Font #3,Font #4,Font #5,Font #6,Font #7,Font #8,Font #9,Font #10
4/6/2021 12:12:55,7,6,5,4,6,10,4,4,6,4
4/6/2021 12:27:01,6,2,8,4,9,2,5,7,5,6
4/6/2021 12:29:32,10,2,10,10,10,1,1,10,2,4
4/6/2021 12:31:45,8,5,9,9,9,6,7,9,7,7
4/6/2021 12:33:12,9,2,5,7,7,1,6,6,6,6
4/6/2021 12:33:37,9,1,8,7,9,2,5,7,5,3
4/6/2021 12:36:16,8,3,9,7,8,5,5,7,5,6
4/6/2021 12:37:47,7,3,8,5,9,2,4,6,5,5
4/6/2021 12:37:50,9,4,10,10,10,4,5,10,6,7
4/6/2021 12:48:10,9,3,7,6,6,3,4,6,5,8
4/6/2021 12:48:19,4,1,10,7,10,1,2,10,3,5
4/6/2021 12:58:34,8,4,9,9,10,6,9,8,5,8
4/6/2021 13:01:17,7,4,7,8,8,1,5,7,4,8
4/6/2021 13:09:47,9,5,9,8,9,6,6,10,7,8
4/6/2021 14:05:33,7,4,7,8,8,2,6,8,6,5
4/6/2021 14:40:26,7,3,6,6,8,3,4,7,4,5
4/6/2021 15:37:14,7,2,9,9,9,2,3,7,4,5
4/6/2021 16:46:26,10,3,10,9,10,4,4,10,5,7
4/6/2021 16:50:24,8,3,7,8,10,6,2,9,4,9
4/6/2021 17:58:47,10,1,6,6,10,1,3,10,2,4
4/6/2021 18:28:07,4,4,9,7,8,2,3,8,3,3
4/6/2021 20:47:14,10,5,10,10,8,3,6,10,5,9
4/6/2021 22:29:44,6,1,9,7,9,1,3,10,4,4